# UCA Version: 3.1.1d6/3.2.0
# Generated:   2002-07-02,18:49:23 GMT [MD]
0009 0021;	0009
000A 0021;	000A
000B 0021;	000B
000C 0021;	000C
000D 0021;	000D
0085 0021;	0085
2028 0021;	2028
2029 0021;	2029
0020 0021;	0020
00A0 0021;	00A0
2000 0021;	2000
2001 0021;	2001
2002 0021;	2002
2003 0021;	2003
2004 0021;	2004
2005 0021;	2005
2006 0021;	2006
2007 0021;	2007
2008 0021;	2008
2009 0021;	2009
200A 0021;	200A
202F 0021;	202F
3000 0021;	3000
1680 0021;	1680
0640 0021;	0640
0060 0021;	0060
1FEF 0021;	1FEF
FF40 0021;	FF40
00B4 0021;	00B4
0384 0021;	0384
1FFD 0021;	1FFD
02DC 0021;	02DC
005E 0021;	005E
FF3E 0021;	FF3E
00AF 0021;	00AF
FFE3 0021;	FFE3
203E 0021;	203E
FE49 0021;	FE49
FE4A 0021;	FE4A
FE4B 0021;	FE4B
FE4C 0021;	FE4C
02D8 0021;	02D8
02D9 0021;	02D9
00A8 0301 0334;	00A8 0301
00A8 0334 0300;	00A8 0334
00A8 0334 0301;	00A8 0334
00A8 0334 0340;	00A8 0334
00A8 0334 0341;	00A8 0334
00A8 0334 0342;	00A8 0334
00A8 0340 0334;	00A8 0340
00A8 0342 0334;	00A8 0342
0385 0334;	0385
1FC1 0334;	1FC1
1FED 0334;	1FED
00A8 0021;	00A8
0385 0021;	0385
1FC1 0021;	1FC1
1FED 0021;	1FED
1FEE 0021;	1FEE
02DA 0021;	02DA
02DD 0021;	02DD
1FBF 0300 0334;	1FBF 0300
1FBF 0334 0301;	1FBF 0334
1FBF 0334 0340;	1FBF 0334
1FBF 0334 0341;	1FBF 0334
1FBF 0334 0342;	1FBF 0334
1FBF 0340 0334;	1FBF 0340
1FBF 0341 0334;	1FBF 0341
1FBF 0342 0334;	1FBF 0342
1FCD 0334;	1FCD
1FCE 0334;	1FCE
1FCF 0334;	1FCF
1FBD 0021;	1FBD
1FBF 0021;	1FBF
1FCD 0021;	1FCD
1FCE 0021;	1FCE
1FCF 0021;	1FCF
1FDD 0334;	1FDD
1FDE 0334;	1FDE
1FDF 0334;	1FDF
1FFE 0301 0334;	1FFE 0301
1FFE 0334 0300;	1FFE 0334
1FFE 0334 0340;	1FFE 0334
1FFE 0334 0341;	1FFE 0334
1FFE 0334 0342;	1FFE 0334
1FFE 0340 0334;	1FFE 0340
1FFE 0341 0334;	1FFE 0341
1FFE 0342 0334;	1FFE 0342
1FDD 0021;	1FDD
1FDE 0021;	1FDE
1FDF 0021;	1FDF
1FFE 0021;	1FFE
00B8 0021;	00B8
02DB 0021;	02DB
005F 0021;	005F
FE33 0021;	FE33
FE34 0021;	FE34
FE4D 0021;	FE4D
FE4E 0021;	FE4E
FE4F 0021;	FE4F
FF3F 0021;	FF3F
2017 0021;	2017
1FC0 0021;	1FC0
309B 0021;	309B
309C 0021;	309C
00AD 0021;	00AD
002D 0021;	002D
FE63 0021;	FE63
FF0D 0021;	FF0D
058A 0021;	058A
1806 0021;	1806
1807 0021;	1807
2010 0021;	2010
2011 0021;	2011
2012 0021;	2012
2013 0021;	2013
FE32 0021;	FE32
2014 0021;	2014
FE31 0021;	FE31
FE58 0021;	FE58
2015 0021;	2015
301C 0021;	301C
3030 0021;	3030
30FB 0021;	30FB
FF65 0021;	FF65
002C 0021;	002C
FE50 0021;	FE50
FF0C 0021;	FF0C
055D 0021;	055D
060C 0021;	060C
066B 0021;	066B
066C 0021;	066C
1802 0021;	1802
1808 0021;	1808
3001 0021;	3001
FE51 0021;	FE51
FF64 0021;	FF64
003B 0021;	003B
037E 0021;	037E
FE54 0021;	FE54
FF1B 0021;	FF1B
061B 0021;	061B
003A 0021;	003A
FE55 0021;	FE55
FF1A 0021;	FF1A
0589 0021;	0589
0703 0021;	0703
0704 0021;	0704
0705 0021;	0705
0706 0021;	0706
0707 0021;	0707
0708 0021;	0708
1361 0021;	1361
1363 0021;	1363
1364 0021;	1364
1365 0021;	1365
1366 0021;	1366
1804 0021;	1804
1805 0021;	1805
0F14 0021;	0F14
17D6 0021;	17D6
16EB 0021;	16EB
16EC 0021;	16EC
16ED 0021;	16ED
0000 0021;	0000
0001 0021;	0001
0002 0021;	0002
0003 0021;	0003
0004 0021;	0004
0005 0021;	0005
0006 0021;	0006
0007 0021;	0007
0008 0021;	0008
000E 0021;	000E
000F 0021;	000F
0010 0021;	0010
0011 0021;	0011
0012 0021;	0012
0013 0021;	0013
0014 0021;	0014
0015 0021;	0015
0016 0021;	0016
0017 0021;	0017
0018 0021;	0018
0019 0021;	0019
001A 0021;	001A
001B 0021;	001B
001C 0021;	001C
001D 0021;	001D
001E 0021;	001E
001F 0021;	001F
007F 0021;	007F
0080 0021;	0080
0081 0021;	0081
0082 0021;	0082
0083 0021;	0083
0084 0021;	0084
0086 0021;	0086
0087 0021;	0087
0088 0021;	0088
0089 0021;	0089
008A 0021;	008A
008B 0021;	008B
008C 0021;	008C
008D 0021;	008D
008E 0021;	008E
008F 0021;	008F
0090 0021;	0090
0091 0021;	0091
0092 0021;	0092
0093 0021;	0093
0094 0021;	0094
0095 0021;	0095
0096 0021;	0096
0097 0021;	0097
0098 0021;	0098
0099 0021;	0099
009A 0021;	009A
009B 0021;	009B
009C 0021;	009C
009D 0021;	009D
009E 0021;	009E
009F 0021;	009F
0488 0021;	0488
0489 0021;	0489
0591 0021;	0591
0592 0021;	0592
0593 0021;	0593
0594 0021;	0594
0595 0021;	0595
0596 0021;	0596
0597 0021;	0597
0598 0021;	0598
0599 0021;	0599
059A 0021;	059A
059B 0021;	059B
059C 0021;	059C
059D 0021;	059D
059E 0021;	059E
059F 0021;	059F
05A0 0021;	05A0
05A1 0021;	05A1
05A3 0021;	05A3
05A4 0021;	05A4
05A5 0021;	05A5
05A6 0021;	05A6
05A7 0021;	05A7
05A8 0021;	05A8
05A9 0021;	05A9
05AA 0021;	05AA
05AB 0021;	05AB
05AC 0021;	05AC
05AD 0021;	05AD
05AE 0021;	05AE
05AF 0021;	05AF
05BD 0021;	05BD
05C4 0021;	05C4
06DD 0021;	06DD
06DE 0021;	06DE
06DF 0021;	06DF
06E0 0021;	06E0
06EA 0021;	06EA
06EB 0021;	06EB
06EC 0021;	06EC
070F 0021;	070F
0E4E 0021;	0E4E
0F18 0021;	0F18
0F19 0021;	0F19
0F35 0021;	0F35
0F37 0021;	0F37
0F82 0021;	0F82
0F83 0021;	0F83
0F86 0021;	0F86
0F87 0021;	0F87
0FC6 0021;	0FC6
180B 0021;	180B
180C 0021;	180C
180D 0021;	180D
180E 0021;	180E
200B 0021;	200B
200C 0021;	200C
200D 0021;	200D
200E 0021;	200E
200F 0021;	200F
202A 0021;	202A
202B 0021;	202B
202C 0021;	202C
202D 0021;	202D
202E 0021;	202E
206A 0021;	206A
206B 0021;	206B
206C 0021;	206C
206D 0021;	206D
206E 0021;	206E
206F 0021;	206F
D800 0021;	D800
D801 0021;	D801
D802 0021;	D802
D803 0021;	D803
D804 0021;	D804
D805 0021;	D805
D806 0021;	D806
D807 0021;	D807
D808 0021;	D808
D809 0021;	D809
D80A 0021;	D80A
D80B 0021;	D80B
D80C 0021;	D80C
D80D 0021;	D80D
D80E 0021;	D80E
D80F 0021;	D80F
D810 0021;	D810
D811 0021;	D811
D812 0021;	D812
D813 0021;	D813
D814 0021;	D814
D815 0021;	D815
D816 0021;	D816
D817 0021;	D817
D818 0021;	D818
D819 0021;	D819
D81A 0021;	D81A
D81B 0021;	D81B
D81C 0021;	D81C
D81D 0021;	D81D
D81E 0021;	D81E
D81F 0021;	D81F
D820 0021;	D820
D821 0021;	D821
D822 0021;	D822
D823 0021;	D823
D824 0021;	D824
D825 0021;	D825
D826 0021;	D826
D827 0021;	D827
D828 0021;	D828
D829 0021;	D829
D82A 0021;	D82A
D82B 0021;	D82B
D82C 0021;	D82C
D82D 0021;	D82D
D82E 0021;	D82E
D82F 0021;	D82F
D830 0021;	D830
D831 0021;	D831
D832 0021;	D832
DFFF 0021;	DFFF
FDD0 0021;	FDD0
FDD1 0021;	FDD1
FDD2 0021;	FDD2
FDD3 0021;	FDD3
FDD4 0021;	FDD4
FDD5 0021;	FDD5
FDD6 0021;	FDD6
FDD7 0021;	FDD7
FDD8 0021;	FDD8
FDD9 0021;	FDD9
FDDA 0021;	FDDA
FDDB 0021;	FDDB
FDDC 0021;	FDDC
FDDD 0021;	FDDD
FDDE 0021;	FDDE
FDDF 0021;	FDDF
FDE0 0021;	FDE0
FDE1 0021;	FDE1
FDE2 0021;	FDE2
FDE3 0021;	FDE3
FDE4 0021;	FDE4
FDE5 0021;	FDE5
FDE6 0021;	FDE6
FDE7 0021;	FDE7
FDE8 0021;	FDE8
FDE9 0021;	FDE9
FDEA 0021;	FDEA
FDEB 0021;	FDEB
FDEC 0021;	FDEC
FDED 0021;	FDED
FDEE 0021;	FDEE
FDEF 0021;	FDEF
FEFF 0021;	FEFF
FFF9 0021;	FFF9
FFFA 0021;	FFFA
FFFB 0021;	FFFB
FFFE 0021;	FFFE
FFFF 0021;	FFFF
1D165 0021;	1D165
1D166 0021;	1D166
1D167 0021;	1D167
1D168 0021;	1D168
1D169 0021;	1D169
1D16D 0021;	1D16D
1D16E 0021;	1D16E
1D16F 0021;	1D16F
1D170 0021;	1D170
1D171 0021;	1D171
1D172 0021;	1D172
1D173 0021;	1D173
1D174 0021;	1D174
1D175 0021;	1D175
1D176 0021;	1D176
1D177 0021;	1D177
1D178 0021;	1D178
1D179 0021;	1D179
1D17A 0021;	1D17A
1D17B 0021;	1D17B
1D17C 0021;	1D17C
1D17D 0021;	1D17D
1D17E 0021;	1D17E
1D17F 0021;	1D17F
1D180 0021;	1D180
1D181 0021;	1D181
1D182 0021;	1D182
1D185 0021;	1D185
1D186 0021;	1D186
1D187 0021;	1D187
1D188 0021;	1D188
1D189 0021;	1D189
1D18A 0021;	1D18A
1D18B 0021;	1D18B
1D1AA 0021;	1D1AA
1D1AB 0021;	1D1AB
1D1AC 0021;	1D1AC
1D1AD 0021;	1D1AD
1FFFE 0021;	1FFFE
1FFFF 0021;	1FFFF
2FFFE 0021;	2FFFE
2FFFF 0021;	2FFFF
3FFFE 0021;	3FFFE
3FFFF 0021;	3FFFF
4FFFE 0021;	4FFFE
4FFFF 0021;	4FFFF
5FFFE 0021;	5FFFE
5FFFF 0021;	5FFFF
6FFFE 0021;	6FFFE
6FFFF 0021;	6FFFF
7FFFE 0021;	7FFFE
7FFFF 0021;	7FFFF
8FFFE 0021;	8FFFE
8FFFF 0021;	8FFFF
9FFFE 0021;	9FFFE
9FFFF 0021;	9FFFF
AFFFE 0021;	AFFFE
AFFFF 0021;	AFFFF
BFFFE 0021;	BFFFE
BFFFF 0021;	BFFFF
CFFFE 0021;	CFFFE
CFFFF 0021;	CFFFF
DFFFE 0021;	DFFFE
DFFFF 0021;	DFFFF
E0001 0021;	E0001
E0020 0021;	E0020
E0021 0021;	E0021
E0022 0021;	E0022
E0023 0021;	E0023
E0024 0021;	E0024
E0025 0021;	E0025
E0026 0021;	E0026
E0027 0021;	E0027
E0028 0021;	E0028
E0029 0021;	E0029
E002A 0021;	E002A
E002B 0021;	E002B
E002C 0021;	E002C
E002D 0021;	E002D
E002E 0021;	E002E
E002F 0021;	E002F
E0030 0021;	E0030
E0031 0021;	E0031
E0032 0021;	E0032
E0033 0021;	E0033
E0034 0021;	E0034
E0035 0021;	E0035
E0036 0021;	E0036
E0037 0021;	E0037
E0038 0021;	E0038
E0039 0021;	E0039
E003A 0021;	E003A
E003B 0021;	E003B
E003C 0021;	E003C
E003D 0021;	E003D
E003E 0021;	E003E
E003F 0021;	E003F
E0040 0021;	E0040
E0041 0021;	E0041
E0042 0021;	E0042
E0043 0021;	E0043
E0044 0021;	E0044
E0045 0021;	E0045
E0046 0021;	E0046
E0047 0021;	E0047
E0048 0021;	E0048
E0049 0021;	E0049
E004A 0021;	E004A
E004B 0021;	E004B
E004C 0021;	E004C
E004D 0021;	E004D
E004E 0021;	E004E
E004F 0021;	E004F
E0050 0021;	E0050
E0051 0021;	E0051
E0052 0021;	E0052
E0053 0021;	E0053
E0054 0021;	E0054
E0055 0021;	E0055
E0056 0021;	E0056
E0057 0021;	E0057
E0058 0021;	E0058
E0059 0021;	E0059
E005A 0021;	E005A
E005B 0021;	E005B
E005C 0021;	E005C
E005D 0021;	E005D
E005E 0021;	E005E
E005F 0021;	E005F
E0060 0021;	E0060
E0061 0021;	E0061
E0062 0021;	E0062
E0063 0021;	E0063
