########################################################################
# Copyright (c) 2006-2011, International Business Machines
# Corporation and others.  All Rights Reserved.
########################################################################
#   file name:      SyntheticPropertyValueAliases.txt
#   encoding:       US-ASCII
#   tab size:       8 (not used)
#   indentation:    4
#   created by:     gensvpa.pl
########################################################################

# This file follows the format of PropertyValueAliases.txt
# It contains synthetic property value aliases not present
# in the UCD.  Unlike PropertyValueAliases.txt, it should
# NOT contain a version number.

########################################################################
#  THIS FILE IS MACHINE-GENERATED, DON'T PLAY WITH IT IF YOU DON'T KNOW
#  WHAT YOU ARE DOING, OTHERWISE VERY BAD THINGS WILL HAPPEN!
########################################################################

# set the same names as short and long names to fit the syntax without 
# inventing names that we would have to support forever

# Script (sc)

sc ; Blis ; Blis 
sc ; Cirt ; Cirt 
sc ; Cyrs ; Cyrs 
sc ; Egyd ; Egyd 
sc ; Egyh ; Egyh 
sc ; Geok ; Geok 
sc ; Hans ; Hans 
sc ; Hant ; Hant 
sc ; Hmng ; Hmng 
sc ; Hung ; Hung 
sc ; Inds ; Inds 
sc ; Jpan ; Jpan 
sc ; Latf ; Latf 
sc ; Latg ; Latg 
sc ; Lina ; Lina 
sc ; Maya ; Maya 
sc ; Moon ; Moon 
sc ; Perm ; Perm 
sc ; Roro ; Roro 
sc ; Sara ; Sara 
sc ; Sgnw ; Sgnw
sc ; Syre ; Syre 
sc ; Syrj ; Syrj 
sc ; Syrn ; Syrn 
sc ; Teng ; Teng 
sc ; Visp ; Visp 
sc ; Zxxx ; Zxxx 

sc ; Kore ; Kore
sc ; Mani ; Mani
sc ; Phlp ; Phlp
sc ; Phlv ; Phlv
sc ; Zmth ; Zmth
sc ; Zsym ; Zsym

sc ; Nkgb ; Nkgb

sc ; Bass ; Bass
sc ; Dupl ; Dupl
sc ; Elba ; Elba
sc ; Gran ; Gran
sc ; Kpel ; Kpel
sc ; Loma ; Loma
sc ; Mend ; Mend
sc ; Narb ; Narb
sc ; Nbat ; Nbat
sc ; Palm ; Palm
sc ; Sind ; Sind
sc ; Wara ; Wara

sc ; Afak ; Afak
sc ; Jurc ; Jurc
sc ; Mroo ; Mroo
sc ; Nshu ; Nshu
sc ; Tang ; Tang
sc ; Wole ; Wole

sc ; Khoj ; Khoj
sc ; Tirh ; Tirh
