ubrk.h	UBRK_TITLE	ICU 2.8 Use the word break iterator for titlecasing for Unicode 4 and later.
ucol.h	ucol_getLocale	ICU 2.8 Use ucol_getLocaleByType instead
uloc.h	ULOC_REQUESTED_LOCALE	ICU 2.8
ures.h	RES_NONE	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_STRING	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_BINARY	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_TABLE	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_ALIAS	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_INT	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_ARRAY	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_INT_VECTOR	ICU 2.6 Use the URES_ constant instead.
ures.h	RES_RESERVED	ICU 2.6 Not used.
ures.h	ures_countArrayItems	ICU 2.8 User ures_getSize instead
ures.h	ures_getLocale	ICU 2.8 Use ures_getLocaleByType instead.
ures.h	ures_getVersionNumber	ICU 2.8 Use ures_getVersion instead.
utf_old.h	(null)	ICU 2.4. Use the macros in utf.h, utf16.h, utf8.h instead.
utf_old.h	UTF16_APPEND_CHAR_SAFE	ICU 2.4. Use U16_APPEND instead, see utf_old.h.
utf_old.h	UTF16_APPEND_CHAR_UNSAFE	ICU 2.4. Renamed to U16_APPEND_UNSAFE, see utf_old.h.
utf_old.h	UTF16_ARRAY_SIZE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF16_BACK_1_SAFE	ICU 2.4. Renamed to U16_BACK_1, see utf_old.h.
utf_old.h	UTF16_BACK_1_UNSAFE	ICU 2.4. Renamed to U16_BACK_1_UNSAFE, see utf_old.h.
utf_old.h	UTF16_BACK_N_SAFE	ICU 2.4. Renamed to U16_BACK_N, see utf_old.h.
utf_old.h	UTF16_BACK_N_UNSAFE	ICU 2.4. Renamed to U16_BACK_N_UNSAFE, see utf_old.h.
utf_old.h	UTF16_CHAR_LENGTH	ICU 2.4. Renamed to U16_LENGTH, see utf_old.h.
utf_old.h	UTF16_FWD_1_SAFE	ICU 2.4. Renamed to U16_FWD_1, see utf_old.h.
utf_old.h	UTF16_FWD_1_UNSAFE	ICU 2.4. Renamed to U16_FWD_1_UNSAFE, see utf_old.h.
utf_old.h	UTF16_FWD_N_SAFE	ICU 2.4. Renamed to U16_FWD_N, see utf_old.h.
utf_old.h	UTF16_FWD_N_UNSAFE	ICU 2.4. Renamed to U16_FWD_N_UNSAFE, see utf_old.h.
utf_old.h	UTF16_GET_CHAR_SAFE	ICU 2.4. Use U16_GET instead, see utf_old.h.
utf_old.h	UTF16_GET_CHAR_UNSAFE	ICU 2.4. Renamed to U16_GET_UNSAFE, see utf_old.h.
utf_old.h	UTF16_GET_PAIR_VALUE	ICU 2.4. Renamed to U16_GET_SUPPLEMENTARY, see utf_old.h.
utf_old.h	UTF16_IS_LEAD	ICU 2.4. Renamed to U16_IS_LEAD, see utf_old.h.
utf_old.h	UTF16_IS_SINGLE	ICU 2.4. Renamed to U16_IS_SINGLE, see utf_old.h.
utf_old.h	UTF16_IS_TRAIL	ICU 2.4. Renamed to U16_IS_TRAIL, see utf_old.h.
utf_old.h	UTF16_LEAD	ICU 2.4. Renamed to U16_LEAD, see utf_old.h.
utf_old.h	UTF16_MAX_CHAR_LENGTH	ICU 2.4. Renamed to U16_MAX_LENGTH, see utf_old.h.
utf_old.h	UTF16_NEED_MULTIPLE_UCHAR	ICU 2.4. Use U16_LENGTH or test ((uint32_t)(c)>0xffff) instead, see utf_old.h.
utf_old.h	UTF16_NEXT_CHAR_SAFE	ICU 2.4. Use U16_NEXT instead, see utf_old.h.
utf_old.h	UTF16_NEXT_CHAR_UNSAFE	ICU 2.4. Renamed to U16_NEXT_UNSAFE, see utf_old.h.
utf_old.h	UTF16_PREV_CHAR_SAFE	ICU 2.4. Use U16_PREV instead, see utf_old.h.
utf_old.h	UTF16_PREV_CHAR_UNSAFE	ICU 2.4. Renamed to U16_PREV_UNSAFE, see utf_old.h.
utf_old.h	UTF16_SET_CHAR_LIMIT_SAFE	ICU 2.4. Renamed to U16_SET_CP_LIMIT, see utf_old.h.
utf_old.h	UTF16_SET_CHAR_LIMIT_UNSAFE	ICU 2.4. Renamed to U16_SET_CP_LIMIT_UNSAFE, see utf_old.h.
utf_old.h	UTF16_SET_CHAR_START_SAFE	ICU 2.4. Renamed to U16_SET_CP_START, see utf_old.h.
utf_old.h	UTF16_SET_CHAR_START_UNSAFE	ICU 2.4. Renamed to U16_SET_CP_START_UNSAFE, see utf_old.h.
utf_old.h	UTF16_TRAIL	ICU 2.4. Renamed to U16_TRAIL, see utf_old.h.
utf_old.h	UTF32_APPEND_CHAR_SAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_APPEND_CHAR_UNSAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_ARRAY_SIZE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_BACK_1_SAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_BACK_1_UNSAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_BACK_N_SAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_BACK_N_UNSAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_CHAR_LENGTH	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_FWD_1_SAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_FWD_1_UNSAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_FWD_N_SAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_FWD_N_UNSAFE	ICU 2.4. Obsolete, see utf_old.h.
utf_old.h	UTF32_GET_CHAR_SAFE	ICU 2.4. Obsolete, see utf_old.h.
