ranges
00385A  U+9FA6-D7FF  GB+82358F33-8336C738
001BBE  U+0452-200F  GB+8130D330-8136A531
0010C7  U+E865-F92B  GB+8336D030-84308534
00083E  U+2643-2E80  GB+8137A839-8138FD38
000406  U+FA2A-FE2F  GB+84309C38-84318537
000375  U+3CE1-4055  GB+8231D438-8232AF32
0002FD  U+361B-3917  GB+8230A633-8230F237
0002BF  U+49B8-4C76  GB+8234A131-8234E733
0001D7  U+4160-4336  GB+8232C937-8232F837
0001B9  U+478E-4946  GB+8233E838-82349638
000175  U+44D7-464B  GB+8233A339-8233C931
00001A  U+FFE6-FFFF  GB+8431A234-8431A439
