# Mirror.txt

# Informative properties for Unicode characters:
# This file lists characters that have the mirrored property
# where there is another Unicode character that typically has a glyph
# that is the mirror image of the original character's glyph.

# The file contains a list of lines with mappings from one code point
# to another one for character-based mirroring.
# Note that for "real" mirroring, a rendering engine needs to select
# appropriate alternative glyphs, and that many Unicode characters do not
# have a mirror-image Unicode character.

# Each mapping line contains two fields, separated by a semicolon (';').
# Each of the two fields contains a code point represented as a
# variable-length hexadecimal value with 1 to 6 digits.
# The mapping lines are listed in ascending order by the first field, the
# original code points.

28;29
29;28
3C;3E
3E;3C
5B;5D
5D;5B
7B;7D
7D;7B
AB;BB
BB;AB
2039;203A
203A;2039
2045;2046
2046;2045
207D;207E
207E;207D
208D;208E
208E;208D
2201;2201
2202;2202
2203;2203
2204;2204
2208;220B
2209;220C
220A;220D
220B;2208
220C;2209
220D;220A
2211;2211
2215;2216
2216;2215
221A;221A
221B;221B
221C;221C
221D;221D
221F;221F
2220;2220
2221;2221
2222;2222
2224;2224
2226;2226
222B;222B
222C;222C
222D;222D
222E;222E
222F;222F
2230;2230
2231;2231
2232;2232
2233;2233
2239;2239
223B;223B
223C;223D
223D;223C
223E;223E
223F;223F
2240;2240
2241;2241
2242;2242
2243;22CD
2244;2244
2245;2245
2246;2246
2247;2247
2248;2248
2249;2249
224A;224A
224B;224B
224C;224C
2252;2253
2253;2252
2254;2255
2255;2254
225F;225F
2260;2260
2262;2262
2264;2265
2265;2264
2266;2267
2267;2266
2268;2269
2269;2268
226A;226B
226B;226A
226E;226F
226F;226E
2270;2271
2271;2270
2272;2273
2273;2272
2274;2275
2275;2274
2276;2277
2277;2276
2278;2279
2279;2278
227A;227B
227B;227A
227C;227D
227D;227C
227E;227F
227F;227E
2280;2281
2281;2280
2282;2283
2283;2282
2284;2285
2285;2284
2286;2287
2287;2286
2288;2289
2289;2288
228A;228B
228B;228A
228C;228C
228F;2290
2290;228F
2291;2292
2292;2291
2298;2298
22A2;22A3
22A3;22A2
22A6;22A6
22A7;22A7
22A8;22A8
22A9;22A9
22AA;22AA
22AB;22AB
22AC;22AC
22AD;22AD
22AE;22AE
22AF;22AF
22B0;22B1
22B1;22B0
22B2;22B3
22B3;22B2
22B4;22B5
22B5;22B4
22B6;22B7
22B7;22B6
22B8;22B8
22BE;22BE
22BF;22BF
22C9;22CA
22CA;22C9
22CB;22CC
22CC;22CB
22CD;2243
22D0;22D1
22D1;22D0
22D6;22D7
22D7;22D6
22D8;22D9
22D9;22D8
22DA;22DB
22DB;22DA
22DC;22DD
22DD;22DC
22DE;22DF
22DF;22DE
22E0;22E1
22E1;22E0
22E2;22E3
22E3;22E2
22E4;22E5
22E5;22E4
22E6;22E7
22E7;22E6
22E8;22E9
22E9;22E8
22EA;22EB
22EB;22EA
22EC;22ED
22ED;22EC
22F0;22F1
22F1;22F0
2308;2309
2309;2308
230A;230B
230B;230A
2320;2320
2321;2321
2329;232A
232A;2329
3008;3009
3009;3008
300A;300B
300B;300A
300C;300C
300D;300D
300E;300E
300F;300F
3010;3011
3011;3010
3014;3014
3015;3015
3016;3017
3017;3016
3018;3019
3019;3018
301A;301B
301B;301A

# Mirrored-character mappings for characters that are missing the mirrored property:
# Not listed are characters that could have the mirrored property but would not
# have a mirror-image mapping.

# Mathematical Operators
# 2205;2349

# APL
# No APL symbol has the mirrored property!
# 2300;2349
# 2326;232B
# 232B;2326
# 233F;2340
# 2340;233F
# 2341;2342
# 2342;2341
# 2343;2344
# 2344;2343
# 2345;2346
# 2346;2345
# 2347;2348
# 2348;2347
# 2349;2205
